Nombre,Lat,Lon
outlook.ie,47.6801,-122.1206
ehu.es,42.85,-2.6667
tello.es,39.4667,-0.3667
castillatextil.com,40.4086,-3.6922
solucionesdelhard.com,38.0848,-0.944
eds.com,37.3762,-122.1826
mac.com,37.3042,-122.0946
bccabogados.com,47.6727,-122.1873
consultant.com,41.8776,-87.6272
hispasat.es,40.3269,-3.7604
larfin.com,51,9
gamo.com,40.4661,-3.6962
faktoria.com,40,-4
imacsa.es,40,-4
btinternet.com,51.5,-0.13
euromadi.es,40,-4
vodafone.com,51,9
vodafone.es,40,-4
eferru.com,40,-4
mcm.pm,40,-4
acuntia.es,40,-4
acysa.com,40,-4
iese.net,41.3909,2.1382
galbentb.com,51,9
prodigy.net.mx,19.43,-99.13
jetduc.com,40,-4
aytos.es,40,-4
maveaeronautica.es,40,-4
vitalicio.es,40,-4
balaguersl.net,40,-4
avidel.es,41.6109,0.6419
serviabertis.com,40,-4
frivall.es,41.6109,0.6419
frimancha.com,41.622,0.624
9ren.com,42.8333,12.8333
novotec.es,40,-4
m-automocion.com,51,9
corpcld.com,42.8333,12.8333
motorllansa.es,40,-4
proyectosbds.com,40,-4
provideo.es,40,-4
cablapalma.es,40,-4
colbenson.com,43.0138,-7.5585
colaboradorst.es,42.8333,12.8333
bricomart.es,51,9
consorciodejabugo.com,40,-4
verhal.com,51.5,-0.13
vancris.es,42.8333,12.8333
feloga.com,40,-4
sanafarmacia.com,40,-4
layetana.com,40,-4
gajisa.net,40.4148,-3.6952
tecsa.es,40.4238,-3.5613
racc.es,40,-4
alsanalcantarillado.com,40,-4
tenerife.es,28.4629,-16.2472
cyme.es,40,-4
cepsa.com,40,-4
agencaixa.com,40,-4
eysaservicios.com,48.86,2.35
bioiberica.com,40,-4
aserinte.es,51,9
planetadeagostini.es,51,9
aiguesdebarcelona.cat,38,-97
familiasunidas.org,40,-4
trasmediterranea.es,40,-4
martinezdelapera.com,40,-4
ingnn.es,40.4086,-3.6922
zagalines.es,40,-4
campri.es,40,-4
gallinablancastar.com,41.3984,2.1741
ferastur.com,51.5,-0.13
fluidraservices.es,41.6991,2.7189
economistas.org,52.5,5.75
bicentury.com,40,-4
iberia-abogados.es,40,-4
ciberia.com,51,9
gilzaballos.com,40,-4
almelaabogados.com,40,-4
avabogados.es,40,-4
ziurnavarra.com,40,-4
grupopuma.com,40,-4
eon.com,50.6,8.95
avis.es,51.5,-0.13
iese.edu,41.3909,2.1382
canal2000.com,42.8333,12.8333
oshar.com,39.5,-8
tiscali.it,42.8333,12.8333
juancuadros.com,40,-4
ingenieriaderefrigeracion.com,40,-4
nutrexpa.es,40,-4
xtec.net,40,-4
mibalia.com,40,-4
caldeval.es,51,9
aocsl.com,40,-4
registradores.org,40,-4
neurocrecer.es,53,-8
snps.es,40,-4
promojaen.es,37.7667,-3.7833
carbonifera.com,40,-4
cajasol.es,40.4086,-3.6922
emprendelaw.com,40,-4
samca.com,41.6453,-0.8849
discaf.com,40,-4
grupcei.net,40,-4
genove.com,40,-4
meca-fontde.com,40,-4
ctav.es,40,-4
aromasdeibiza.es,51,9
logisber.com,51,9
publipunto.com,48.86,2.35
alejandrosegura.com,40,-4
grupointro.es,40,-4
consbv.com,40,-4
logrolectric.com,42.4645,-2.4455
pruebatucoche.es,48.5457,2.6536
evathink.com,40,-4
